date,SPY,QQQ,IWM,EFA,EEM,XLK,XLF,XLE,XLV,XLY,XLP,XLI,XLU,TLT,IEF,LQD,HYG,SHY,GLD,SLV,DBC,VNQ
2008-01-01,97.84487915039062,38.77293395996094,55.23857116699219,41.4673957824707,30.937829971313477,9.094661712646484,16.595172882080078,19.61210823059082,24.439952850341797,12.890037536621094,16.536861419677734,25.88041877746582,10.282148361206055,54.15053939819336,57.23143768310547,52.568946838378906,31.4763240814209,62.08263397216797,91.4000015258789,16.81800079345703,27.033496856689453,28.365909576416016
2008-02-01,95.31629943847656,36.899993896484375,53.61895751953125,41.043216705322266,31.55481719970703,8.664376258850098,14.710129737854004,21.429609298706055,23.787254333496094,12.391531944274902,16.49430274963379,25.35581398010254,9.860060691833496,53.903961181640625,57.9406623840332,52.19761276245117,30.88792610168457,62.72410202026367,96.18000030517578,19.667999267578125,30.046466827392578,27.46348762512207
2008-03-01,94.4639892578125,37.59090805053711,53.26192855834961,41.21519088745117,30.370555877685547,8.764542579650879,14.277636528015137,20.928943634033203,22.70633888244629,12.170158386230469,17.028697967529297,26.276395797729492,10.018342971801758,55.05693435668945,58.71553421020508,51.88589859008789,31.180145263671875,62.883087158203125,90.41000366210938,17.041000366210938,29.771806716918945,29.24457359313965
2008-04-01,98.96636199951172,40.59162521362305,55.687530517578125,43.45650863647461,33.14590072631836,9.31232738494873,15.2765531539917,23.10210609436035,22.93216323852539,12.459354400634766,16.900333404541016,27.049224853515625,10.530618667602539,53.68806076049805,57.2961311340332,52.53173065185547,32.23929214477539,62.3564453125,86.6500015258789,16.719999313354492,31.56959342956543,31.110149383544922
2008-05-01,100.4623794555664,42.99909210205078,58.23792266845703,43.972412109375,34.19456100463867,9.918800354003906,14.214479446411133,24.30311393737793,23.369245529174805,12.800055503845215,17.41376304626465,27.288114547729492,10.908218383789062,52.24475860595703,56.277687072753906,51.37336349487305,32.07538986206055,62.14060974121094,87.44999694824219,16.67300033569336,33.75025177001953,31.044525146484375
2008-06-01,92.066162109375,38.86471176147461,53.85471725463867,40.10863494873047,31.02488899230957,8.989672660827637,11.734142303466797,25.070005416870117,22.38050651550293,11.32365894317627,16.421268463134766,24.00657081604004,10.826811790466309,53.631126403808594,56.92262268066406,50.70968246459961,30.896724700927734,62.293182373046875,91.4000015258789,17.26300048828125,37.27093505859375,27.74903106689453
2008-07-01,91.23886108398438,39.11423873901367,55.83279800415039,38.77694320678711,29.31728172302246,8.769933700561523,12.527616500854492,21.080554962158203,23.38316535949707,11.343539237976074,16.82029151916504,24.197153091430664,10.129847526550293,53.43412399291992,57.33279800415039,50.90757751464844,31.079072952270508,62.56367492675781,90.08000183105469,17.530000686645508,33.62541198730469,28.61351776123047
2008-08-01,92.64885711669922,39.682090759277344,57.82907485961914,37.12984085083008,27.465675354003906,8.926888465881348,12.405990600585938,21.15138816833496,23.866191864013672,12.126811981201172,17.27455711364746,24.86067771911621,10.018122673034668,54.8978385925293,58.20808029174805,50.98124694824219,30.800077438354492,62.85551071166992,81.70999908447266,13.369999885559082,31.4281005859375,29.292749404907227
2008-09-01,83.92374420166016,33.50111389160156,53.34646224975586,32.88359832763672,23.433256149291992,7.815673351287842,11.630276679992676,17.99330711364746,22.092676162719727,11.132144927978516,17.05841636657715,21.859561920166016,8.917882919311523,55.708106994628906,58.12641906738281,45.51073455810547,27.518064498901367,63.34444808959961,85.06999969482422,11.850000381469727,28.207056045532227,29.256505966186523
2008-10-01,70.0606689453125,28.317951202392578,42.16724395751953,26.032358169555664,17.439498901367188,6.555718898773193,9.08085823059082,14.610684394836426,19.556238174438477,9.16905689239502,14.907575607299805,17.870893478393555,7.75852632522583,54.67158126831055,57.624847412109375,44.627376556396484,24.367218017578125,64.04412078857422,71.33999633789062,9.579999923706055,21.132402420043945,19.974300384521484
