lookback,weighting,cost_bps,CAGR,Ann. Vol,Sharpe,Max Drawdown,Ann. Turnover
3,equal,0.0,0.08360520838100327,0.1314196908622038,0.6782563265904429,-0.22859615859094617,4.74
3,equal,5.0,0.0810721608387519,0.1314141827845005,0.6603643147723112,-0.22974106842155162,4.74
3,equal,10.0,0.07854439408955516,0.1314097254305661,0.6424656659864862,-0.23088461524432125,4.74
3,equal,20.0,0.07350466405062517,0.13140396329649787,0.6066501707104486,-0.233167624854978,4.74
3,rank,0.0,0.06932945796252343,0.1376611027990804,0.5565887464593995,-0.20798752225213446,5.661428571428571
3,rank,5.0,0.06633892706253186,0.13768437820404897,0.5360804712939744,-0.20974509199631508,5.661428571428571
3,rank,10.0,0.06335591844145361,0.13770864014073256,0.5155754352026992,-0.21149925535063052,5.661428571428571
3,rank,20.0,0.0574124005947696,0.13776012150310718,0.47457684260845356,-0.21499738555896442,5.661428571428571
3,inv_vol,0.0,0.08217983887286162,0.11885157676220576,0.7256931540431486,-0.1706478788141893,5.470279513196051
3,inv_vol,5.0,0.07926218383892536,0.11882704692161275,0.7029625354958532,-0.17187128660345052,5.470279513196051
3,inv_vol,10.0,0.07635153212112256,0.11880416880064788,0.680213073255356,-0.17309326063782926,5.470279513196051
3,inv_vol,20.0,0.07055117938053379,0.11876337146685938,0.6346613523710896,-0.1755329126543973,5.470279513196051
6,equal,0.0,0.07589055095106612,0.14100871539890886,0.5920909976489146,-0.30306935456015227,3.563451776649746
6,equal,5.0,0.07400099712100783,0.14101009339436632,0.5795577575233911,-0.3038723449800913,3.563451776649746
6,equal,10.0,0.07211437658112962,0.1410122108655754,0.5670217888441991,-0.30467457170661416,3.563451776649746
6,equal,20.0,0.06834991942584456,0.14101866409037178,0.5419424557946442,-0.30627673640407727,3.563451776649746
6,rank,0.0,0.08101331194626193,0.15299727261910412,0.588537365521991,-0.30081186990452535,4.311820159535896
6,rank,5.0,0.07871861686250137,0.1529997290847224,0.5745696856716552,-0.30213141103072183,4.311820159535896
6,rank,10.0,0.07642825800951702,0.15300298079815663,0.5605995405407862,-0.3034487989451524,4.311820159535896
6,rank,20.0,0.07186052006187293,0.15301186975327197,0.532652727175726,-0.3060771270928334,4.311820159535896
6,inv_vol,0.0,0.0666553312221736,0.12852691953286807,0.5688084468600846,-0.2616015405690515,4.400137050091349
6,inv_vol,5.0,0.06434222605056106,0.12850044548380277,0.5519275576039226,-0.26194059775226175,4.400137050091349
6,inv_vol,10.0,0.062033552063386566,0.1284752304259367,0.5350344680970017,-0.26227957985449246,4.400137050091349
6,inv_vol,20.0,0.05742946795150794,0.12842858021298892,0.5012136361174971,-0.2629573188160148,4.400137050091349
9,equal,0.0,0.1068511355052042,0.13166186750753234,0.8402199543370282,-0.2512687812708019,2.8762886597938144
9,equal,5.0,0.10528434204590353,0.1316183113071062,0.8296105422565899,-0.25167411687949603,2.8762886597938144
9,equal,10.0,0.103719475156693,0.13157550736797785,0.8189894234820879,-0.2520792958684469,2.8762886597938144
9,equal,20.0,0.10059551294693558,0.13149215919925883,0.797712731930037,-0.2528891841396198,2.8762886597938144
9,rank,0.0,0.10417972918565854,0.1473385307042896,0.7491738478925706,-0.28114128831292595,3.562592047128129
9,rank,5.0,0.10223897401100057,0.14731639794141124,0.7372347579826122,-0.2815214337530729,3.562592047128129
9,rank,10.0,0.10030124020074171,0.14729493101833008,0.7252888014357274,-0.2819014355003995,3.562592047128129
9,rank,20.0,0.09643482015440408,0.14725399584733329,0.7013769192938718,-0.28266100806449734,3.562592047128129
9,inv_vol,0.0,0.09228400508380075,0.11938079795491759,0.8018793009194021,-0.24238094546980782,3.721139565961016
9,inv_vol,5.0,0.09028150823570624,0.11932782289170824,0.7867015397572337,-0.2428973327387205,3.721139565961016
9,inv_vol,10.0,0.08828218411605793,0.11927636106355485,0.7715005084138039,-0.2434134634590539,3.721139565961016
9,inv_vol,20.0,0.08429303688941991,0.11917798489587117,0.7410307841203639,-0.24444495558744395,3.721139565961016
12,equal,0.0,0.11395895750858442,0.1357950288715508,0.8660203921143863,-0.23319176310047562,2.7434554973821994
12,equal,5.0,0.11245174904318,0.1358235756899477,0.8558161351264226,-0.2337385827134284,2.7434554973821994
12,equal,10.0,0.1109463284964487,0.1358526591307601,0.845612826400013,-0.23428512284631575,2.7434554973821994
12,equal,20.0,0.10794084379928992,0.13591243449531532,0.8252095431075527,-0.23537736503167528,2.7434554973821994
12,rank,0.0,0.11260282065575211,0.15000191539462238,0.7895918715906953,-0.2657968556775282,3.1637995512341055
12,rank,5.0,0.11087190242946754,0.15000815280269142,0.7791033629588754,-0.2663441565298901,3.1637995512341055
12,rank,10.0,0.10914338314721839,0.15001481298675193,0.7686135603902334,-0.2668911474145341,3.1637995512341055
12,rank,20.0,0.10569352967797974,0.15002940145405602,0.74763043001118,-0.2679841997729401,3.1637995512341055
12,inv_vol,0.0,0.0987304416462722,0.12529268044397943,0.8168463612762347,-0.21626263180859384,3.471480938540812
12,inv_vol,5.0,0.09684486815027626,0.1253197232520525,0.8028925548993345,-0.2169441937685237,3.471480938540812
12,inv_vol,10.0,0.09496212212636301,0.12534778635703842,0.7889383476254143,-0.21762532038733806,3.471480938540812
12,inv_vol,20.0,0.09120509781383035,0.12540697069302684,0.7610301106184586,-0.21898626834414547,3.471480938540812
