,In-Sample,Out-of-Sample
CAGR,0.1167910583319196,0.10519259394056135
Ann. Vol,0.137272218287272,0.13513589539680768
Sharpe,0.8763583214843587,0.8104014015110885
Sortino,1.2465274130114736,1.1692345861239566
Max Drawdown,-0.23428512284631575,-0.17185805922387787
Calmar,0.4984996781401743,0.6120899678235512
Hit Rate,0.6210526315789474,0.6979166666666666
