,Momentum (net of costs),Momentum (gross),Equal-Weight Universe,SPY Buy & Hold
CAGR,0.1109463284964487,0.11395895750858442,0.10372653050356928,0.1522171185824892
Ann. Vol,0.1358526591307601,0.1357950288715508,0.11279832318674886,0.1495006161684686
Sharpe,0.845612826400013,0.8660203921143863,0.9346714631663108,1.027829102875217
Sortino,1.1987156674432582,1.228524104349641,1.3740001982635948,1.5298471673594816
Max Drawdown,-0.23428512284631575,-0.23319176310047562,-0.17127696263465642,-0.23927177194402793
Calmar,0.47355259757243007,0.4886920360882678,0.6056070174762728,0.6361683091396877
Hit Rate,0.6596858638743456,0.6596858638743456,0.6649214659685864,0.6858638743455497
Ann. Turnover,2.7434554973821994,2.7434554973821994,,
